raw,processed,label
Thankyou unilever. Good price; good product ,thankyou unilever good price good product,1
Sip; ga tumpah.. packing aman; bubble banyak. Makasi ya..,sip tidak tumpah packing aman bubble banyak terima kasih iya,1
cairan shampoo keluar sebab tutup botolnya longgar... harap diperhatikan lagi dalam proses packing...  (tambahan komentar) sebelumnya saya beri bintang 2; tetapi karena pihak toko memberikan respon serta permintaan maaf; maka saya beri penilaian bintang 3,cair shampoo keluar sebab tutup botol longgar harap perhati lagi dalam proses packing tambah komentar belum saya beri bintang tetapi karena pihak toko beri respon serta minta maaf maka saya beri nilai bintang,0
Botol yang satunya bocor;sudah ajukan komplain tapi ongkir balik di tanggung pembeli kalo gini kan merugikan pembeli;pdhl sudah ada vidio unboxing kecewa saya  ,botol yang satu bocor sudah aju komplain tapi ongkos kirim balik di tanggung beli jika begini kan rugi beli padahal sudah ada vidio unboxing kecewa saya,0
Cepat dan sesuai pesanan. Thanks,cepat dan sesuai pesan terima kasih,1
Barang sudah diterima dan dalam keadaan baik Terima kasih,barang sudah terima dan dalam ada baik terima kasih,1
Pengiriman lama sekali  Pesan 26 maret  Sudah kirim message dan suka ok kemudian sudah dibilang dikirim begitu ditanya lagi setelah 4 hari karena barang belum sampai ternyata ada barang yg tidak ada dan tidak menanyakan kepada pembeli.  Klo saya tidak message tidak dikirim2 itu. Akhirnya barang sampai setelah 10 hari dari pemesanan   Barang yang tidak ada vaseline aloe jelly  yang tidak ada katanya klo tidak dikirim nanti dikembalikan uangnya; tp sekarang uang belum ada dikembalikan ,kirim lama sekali pesan maret sudah kirim me age dan suka ok kemudian sudah bilang kirim begitu tanya lagi telah hari karena barang belum sampai nyata ada barang yang tidak ada dan tidak tanya kepada beli kalau saya tidak me age tidak kirim itu akhir barang sampai telah hari dari mesan barang yang tidak ada vaseline aloe jelly yang tidak ada kata kalau tidak kirim nanti kembali uang tapi sekarang uang belum ada kembali,0
barang oke tp pengiriman lambat euy,barang oke tapi kirim lambat euy,0
pengiriman lamaaaa bangettt...edan..  😪😪😪,kirim lama banget edan,0
Produk sesuai deskripsi. respon penjual untuk memproses pengiriman lama.,produk sesuai deskripsi respon jual untuk proses kirim lama,0
Produk original pastinya kalo belanja di official store Diskon dan cashbacknya gede;terima kasih tokped dan unilever,produk original pasti jika belanja di official store diskon dan cashbacknya gede terima kasih tokped dan unilever,1
barang sesuai pesanan dan cepat sampai,barang sesuai pesan dan cepat sampai,1
barang cepet sampai nya.......murah lg hrga nya harga nya!!!!!!!! terima kasih ToPed n Reseller nya 🙏,barang cepat sampai nya murah lagi hrga nya harga nya terima kasih toped dan reseller nya,1
pengiriman CUKUP lama sampainya,kirim cukup lama sampai,0
sampai rumah dalam sekejap; mantab; thank u,sampai rumah dalam kejap mantab thank kamu,1
ada kemasan yg bocor,ada kemas yang bocor,0
baru kali ini belanja di tokopedia nyasar ; udah sering belanja ga pernah nyasar ke tempat lain; kapok belanja pake pengiriman murah,baru kali ini belanja di tokopedia sesat sudah sering belanja tidak pernah sesat ke tempat lain kapok belanja pakai kirim murah,0
Lama bgt sampenya,lama banget sampenya,0
sesuai pesanan; packing aman,sesuai pesan packing aman,1
packing sangat rapi dan aman; proses cepat Hanya agak lama di kurir; barang lengkap dan bagus; harga terjangkau.. terima kasih kak.. sehat2 dan sukses selalu..,packing sangat rapi dan aman proses cepat hanya agak lama di kurir barang lengkap dan bagus harga jangkau terima kasih kak sehat dan sukses selalu,1
pengirimannya yg lama utk prod ok ga ada yg bocor,kirim yang lama untuk prod ok tidak ada yang bocor,1
pengiriman nya cepat; packing nya jg rapi... terimakasih...,kirim nya cepat packing nya juga rapi terimakasih,1
pengalaman pertama belanja di official store ini sekaligus yang terakhir.  lebih baik belanja di toko lain utk produk serupa dibanding di sini. PROSES ORDER dan PENGIRIMAN LAMA meskipun barang sesuai dan respon “bot” serta template yg cepat.,alam pertama belanja di official store ini sekaligus yang akhir lebih baik belanja di toko lain untuk produk rupa banding di sini proses order dan kirim lama meski barang sesuai dan respon bot serta template yang cepat,0
pengiriman standar; sengaja tunggu 2hr ga dikirim² (pakai kurir toko); setelah ditanya ke CS nya tiba² besokannya sampe 😂😂,kirim standar sengaja tunggu hari tidak kirim pakai kurir toko telah tanya ke cs nya tiba besok sampai,1
produk sesuai pesanan; jumlahnya sesuai. dapat harga bundling yang bagus. kemasan rapi; tidak bocor. pengiriman cepat. terimakasih seller 🙏👌,produk sesuai pesan jumlah sesuai dapat harga bundling yang bagus kemas rapi tidak bocor kirim cepat terimakasih seller,1
Packing tidak rapih; ada botol yang kurang kencang jadi isinya tumpah,packing tidak rapi ada botol yang kurang kencang jadi isi tumpah,0
Ternyata di swalayan lebih murah,nyata di swalayan lebih murah,0
percepat prosesnya biar sampai sesuai estimasi tiba,cepat proses supaya sampai sesuai estimasi tiba,0
barang sih oke; no issue; exp date masih lama tapi pengirimannya itu loh lama banget... checkout order tgl 4 Mei; pd resi baru dikirim per 7 Mei; gila sih... 4-7 Meinya kemana?!! ckckck,barang sih oke no saya ue exp date masih lama tapi kirim itu loh lama banget checkout order tanggal mei pada resi baru kirim per mei gila sih mei mana ckckck,0
selalu puas beli disini;; hrgnya murah2;; pengiriman jg cepet .. ,selalu puas beli sini hrgnya murah kirim juga cepat,1
Kualitas produk bagus; packing bagus; tapi pengiriman barang lambat / lama. Chat direspon nya lama,kualitas produk bagus packing bagus tapi kirim barang lambat lama chat direspon nya lama,0
pengiriman lama; dan bocor. tumpah ,kirim lama dan bocor tumpah,0
barang yg datang bukan yg saya pesan; proses komplain makan waktu lama sampai 3mingguan,barang yang datang bukan yang saya pesan proses komplain makan waktu lama sampai minggu,0
packingan kurang bagus ; pd bocor walaupun sudah di pake bubble wrap dan di lakban,packingan kurang bagus pada bocor walaupun sudah di pakai bubble wrap dan di lakban,0
kualitas barangnya oke deh...selalu pakai rinso dan harganya lagi dapat promo jadi lumayan buat stock di rumah. penjual responnya cepat dah ramah. packagingnya aman sampai tujuan.,kualitas barang oke deh selalu pakai rinso dan harga lagi dapat promo jadi lumayan buat stock di rumah jual responnya cepat sudah ramah packagingnya aman sampai tuju,1
packing rapi dan aman; meski dus luar agak terbuka tapi gak bocor,packing rapi dan aman meski dus luar agak buka tapi enggak bocor,1
Tidak sesuai foto. Dikirm beda jenis. Bukan galaxy,tidak sesuai foto dikirm beda jenis bukan galaxy,0
kualitas sudah terbukti; packing aman,kualitas sudah bukti packing aman,1
Tidak profesional Service buruk,tidak profesional service buruk,0
ternyata harganya sama saja dgn toko lain yg tdk memberikan discount,nyata harga sama saja dengan toko lain yang tidak beri discount,1
Parah ngak dikirim2,parah nggak kirim,0
barang nya ada yang penyok ,barang nya ada yang penyok,0
Isinya bocor 1 pcs,isi bocor pcs,0
pengemasan sangat amaan,emas sangat ama,1
Saya mau batalkan pesanan tidak bisa padahal sebelum di konfirmasi jahat bngt admin nya perihal payment metode saya ga mau pake gopay coins Tapi pake saldo gopay atau cc,saya mau batal pesan tidak bisa padahal belum di konfirmasi jahat banget admin nya perihal payment metode saya tidak mau pakai gopay coins tapi pakai saldo gopay atau cc,0
I order this product because my wife likes it. I think the marketers like to push the idea that if the soap is good for a baby; it is safe. Just marketing as far as I am concerned.,saya order this product because my wife likes itu saya think the marketers like tryout push the idea that if the soap is good untuk jadi orang baby itu is safe just marketing as far as saya sama concerned,0
packagingnya mungkin perlu diperhatikan..saat kita semprot-semprot;isiny merembes tdk tersemprot secara maksimal jadinya.,packagingnya mungkin perlu perhati saat kita semprot semprot isiny rembes tidak semprot cara maksimal jadi,0
produk ok; tapi pengiriman lama.. ,produk ok tapi kirim lama,0
Barang sdh diterima; recomended seller,barang sudah terima recomended seller,1
paking sebetulnya aman; pakai dus dalamnya bubblewrap tebel; tapiiii bgn tutup botol ga disegel or setidaknya diselotip; alhasil tumpah2; dusnya aja sampe demek dan rusak; isi berkurang 1/4; ; tutupnya kendor,paking betul aman pakai dus dalam bubblewrap tebal tapi bgn tutup botol tidak segel atau tidak diselotip alhasil tumpah dus saja sampai demek dan rusak isi kurang tutup kendor,0
barang sampai lengkap,barang sampai lengkap,1
Respon cepat; pengiriman cepat.. Paket diterima baik.. Thx ,respon cepat kirim cepat paket terima baik terimakasih,1
Semua hancur parah penyok gk berbebtuk,semua hancur parah penyok gak berbebtuk,0
Bener sesuai dengan review org2 secara packaging pentok padahal udh dibuble warp ga tau apa emang dikasi product yg ga lulus QC atau gmn.cuma bisa jd konsumsi probadi ga recommend dipakai buat jualan. Exp masih lama ampe Des 2022,benar sesuai dengan review orang cara packaging pentok padahal udah dibuble warp tidak tahu apa memang kasi product yang tidak lulus qc atau gimana cuma bisa jadi konsumsi probadi tidak recommend pakai buat jual exp masih lama sampai des,0
Package rapi banget T.O.P,package rapi banget t o p,1
Packaging aman; exp lama,packaging aman exp lama,1
Nama perusahaan boleh besar; tapi pelayanan Nol Besar,nama usaha boleh besar tapi layan nol besar,0
Rinso deterjen varian terbaru harum nya paling enak; Belanja di toko member Unilever official store paling lengkap &amp; praktis.,rinso deterjen varian baru harum nya paling enak belanja di toko member unilever official store paling lengkap amp praktis,1
lumayan dapat flash sale,lumayan dapat flash sale,1
Sekarang nyarinya ada susah ya yg varian kopi hitam ini di minimarket dan supermarket dekat rumah.  Untuk di official store ada stoknya. ,sekarang nyarinya ada susah iya yang varian kopi hitam ini di minimarket dan supermarket dekat rumah untuk di official store ada stok,1
packing yang bagus. pake bubble wrap dan dus. pengiriman juga cepat. terima kasih yah 🙏,packing yang bagus pakai bubble wrap dan dus kirim juga cepat terima kasih ya,1
Packaging tidak rapat. Tutup parfum dalam keadaan setengah terbuka (tidak kencang) sehingga sebagian isi parfum tumpah dan semua dus kemasan basah. Harap diperbaiki untuk packingnya. ,packaging tidak rapat tutup parfum dalam ada tengah buka tidak kencang sehingga bagi isi parfum tumpah dan semua dus kemas basah harap baik untuk packingnya,0
Cepat dan responsive,cepat dan responsive,1
Trims sudah diterima dengan baik. Maaf baru review. ,terima kasih sudah terima dengan baik maaf baru review,1
barang sudah sampai dengan selamat,barang sudah sampai dengan selamat,1
Ok; walaupun prosesnya lama; mungkin kedepannya bisa dipercepat supaya barang bisa lebih cepat diterima; tq,ok walaupun proses lama mungkin depan bisa cepat supaya barang bisa lebih cepat terima thank you,1
Saya tidak pernah menerima barang (sabun cuci sunlight) padahal sudah saya bayar. Seller tidak teliti dalam hal pengiriman barang ke customer.. menyedihkan! Memang hanya sabun cuci sih..harga ga seberapa tapi kan ini pesanan customer..walaupun barang lainnya diterima sesuai pesanan,saya tidak pernah terima barang sabun cuci sunlight padahal sudah saya bayar seller tidak teliti dalam hal kirim barang ke customer sedih memang hanya sabun cuci sih harga tidak berapa tapi kan ini pesan customer walaupun barang lain terima sesuai pesan,0
Packing rapi. Tolongdibanyakin stocknya dong,packing rapi tolongdibanyakin stocknya dong,1
ada penyok 2 kaleng,ada penyok kaleng,1
ok..barang dah saya terima dengan sesuai dan lengkap..mksh buat tokonya...mantuuuuulllll...👍👍👍👍👍,ok barang sudah saya terima dengan sesuai dan lengkap terima kasih buat toko mantul,1
bocor sabun huhuhuu..,bocor sabun huhuhuu,0
Barang sesuai deskripsi; harga lebih murah dan dapat hadiah macam-macam. Terimakasih,barang sesuai deskripsi harga lebih murah dan dapat hadiah macam macam terimakasih,1
Barang datang dengan selamat dan barang good packing rapih 👍👍👍,barang datang dengan selamat dan barang good packing rapi,1
Produk original; expired 2021; makasih,produk original expired terima kasih,1
kalengnya penyok² semua ☹️☹️,kaleng penyok semua,0
barang nya dah sampe thanks yaa..,barang nya sudah sampai terima kasih ya,1
mungkin ada yang salah di keterangan... tertulis di diskripsi cair; dan apapun ternyata saya juga ngga teliti BUBUK... next tolong di rubah... biar pelanggan lain tidak salah baca .. seperti saya... ma&#34;af saya belum bisa kasih bintang 🌟🌟🌟🌟🌟 yaa,mungkin ada yang salah di terang tulis di skripsi cair dan apa nyata saya juga tidak teliti bubuk lanjut tolong di rubah supaya langgan lain tidak salah baca seperti saya sama af saya belum bisa kasih bintang ya,0
kualitas pesanan rendah hampir semua kaleng bear brand penyok,kualitas pesan rendah hampir semua kaleng bear brand penyok,0
Bs dikirimkan bukti kirimnya? Ada fotonya? Krn dicari2 blm ketemu. Thx,bisa kirim bukti kirim ada foto karena cari belum ketemu terimakasih,0
Abis ngeliat story Annisa jadi ikutan nyetok buat di rumah. Pengirimannya juga cepet banget; mantap!,habis lihat story annisa jadi ikut nyetok buat di rumah kirim juga cepat banget mantap,1
Makasih banyak yaaa...sdh sampai...,terima kasih banyak iya sudah sampai,1
paket diterima dengan baik dan aman. tks,paket terima dengan baik dan aman terima kasih,1
Respon cepat; packing safety...,respon cepat packing safety,1
Cocok di kulit normal.,cocok di kulit normal,1
Sdh sampai walaupun prosesnya dua harian dn kurirnya lama jg..  Mksh ,sudah sampai walaupun proses dua hari dan kurir lama juga terima kasih,0
packing sangat rapi sehingga tidak ada barang bocor atau rusak,packing sangat rapi sehingga tidak ada barang bocor atau rusak,1
Selalu senang belanja di sini;👍,selalu senang belanja di sini,1
Thanks seusai pesanan. ,terima kasih usai pesan,1
pengemasan rapih; pengiriman cepat. trimss,emas rapi kirim cepat trim,1
packing rapi dan aman; expired masih lama,packing rapi dan aman expired masih lama,1
Produk yg dikirim salah; order pasta gigi biasa; dikirim yg siwak; seller menolak tanggung jawab,produk yang kirim salah order pasta gigi biasa kirim yang siwak seller tolak tanggung jawab,0
ternyata ada tulisannya dikirim random. dapetnya semua cappucinno padahal pas beli mikirnya biar bisa cobain 3 rasa jadi lain kali tahu mana yg suka mana yg ga. capuccinonya jg nanggung rasanya.,nyata ada tulis kirim random dapetnya semua cappucinno padahal pas beli mikirnya supaya bisa coba rasa jadi lain kali tahu mana yang suka mana yang tidak capuccinonya juga nanggung rasa,0
produk sesuai; packing berantakan dus hancur semua,produk sesuai packing beranta dus hancur semua,0
kiran isi 10 ternyata cuma 2 terus kecil bgt,kiran isi nyata cuma terus kecil banget,0
trika nya belum di pakai; harusnya harum wanginya spy moltonya; dan membuat pakaian jadi mudah di strika. tks ya  ,trika nya belum di pakai harus harum wangi supaya moltonya dan buat pakai jadi mudah di strika terima kasih iya,1
emang enak belanja online buat kebutuhan bulanan.. lengkap,memang enak belanja onlen buat butuh bulan lengkap,1
PRODUK INOVATIF; SAYANG PENJUALNYA SANGAT PRIMITIF; LAYANAN SEPERTI NUNGGU IBU2 NGERUJAK DAN NGULITIN AYAM... LAYANAN JUGA TIDAK CERMAT... BELAJAR LAGI.,produk inovatif sayang jual sangat primitif layan seperti tunggu ibu ngerujak dan ngulitin ayam layan juga tidak cermat ajar lagi,0
Ada yg bocor,ada yang bocor,0
pengiriman barangnya lama,kirim barang lama,0
kelamaan kirim paketnya...selalu begini klo belanja di official store yg toped..amit2 dah🤦‍♀️,lama kirim paket selalu begini kalau belanja di official store yang toped amit sudah,0
payah banget; masa produknya cuma ada 1 maen ganti aja tanpa konfirmasi...kecewa banget,payah banget masa produk cuma ada main ganti saja tanpa konfirmasi kecewa banget,0
Cepat dan murah; sesuai jugaaa,cepat dan murah sesuai juga,1
respon cepat pengiriman tepat mutu barang oke,respon cepat kirim tepat mutu barang oke,1
Barangnya ada beberapa sudah penyot kalengnya,barang ada beberapa sudah penyot kaleng,0
sesuai pesanan banget. keren.. terima kasih,sesuai pesan banget keren terima kasih,1
barang bocor di ekspedisi; proses klaim makan waktu smp 1 bulan lebih. mendingan jgn di wajibkan pakai asuransi; kalau pelayan klaim nya overtime,barang bocor di ekspedisi proses klaim makan waktu sampai bulan lebih mending jangan di wajib pakai asuransi kalau layan klaim nya overtime,0
bener2 ga smpe 24 jam udah smpe. packing aman,benar tidak sampai jam sudah sampai packing aman,1
Pengiriman cepet banget;; baby oilnya dikasih plastik biar gak tumpah. packing pakek bubble wrap aman banget masih dilapisi kardus. masih dapet cashback toko lagi. MasyaAllah semoga lancar bisnisnyaa. trusted seller lah pokoknya,kirim cepat banget baby oilnya kasih plastik supaya enggak tumpah packing pakai bubble wrap aman banget masih lapis kardus masih dapat cashback toko lagi masyaallah moga lancar bisnisnyaa trusted seller lah pokok,1
Barangnya bagus sesuai pesanan thanks ya dan cepat smpinya ,barang bagus sesuai pesan terima kasih iya dan cepat smpinya,1
nice dikasih bonus 🤣,nice kasih bonus,1
Dr dulu suka sm wanginya Zwitsal. Krn kulit aku super kering; pake sabun ini atau yg rich honey; cukup melembabkan dbanding sabun utk dewasa. packing aman bgt.,dari dulu suka sama wangi zwitsal karena kulit saya super kering pakai sabun ini atau yang rich honey cukup melembabkan dbanding sabun untuk dewasa packing aman banget,1
proses lama. dari pembayaran sampai terkirim butuh 7 hari. masih se Jabotabek. mungkin banyak antrian nya banyak,proses lama dari bayar sampai kirim butuh hari masih se jabotabek mungkin banyak antri nya banyak,1
Barang sesuai deskripsi dan pengirimannya cepat,barang sesuai deskripsi dan kirim cepat,1
Barang di terima bocor. Dr awal pihak eskpedisi sudah info katanya dia terima dr pihak penjual sudah begitu. Tp tidak di refund,barang di terima bocor dari awal pihak eskpedisi sudah informasi kata dia terima dari pihak jual sudah begitu tapi tidak di refund,0
Sesuai dgn pesanan  Amanah dan cepat,sesuai dengan pesan amanah dan cepat,0
pengiriman sama pengemasan nya sam aja lama nya sampe 2 minggu udah gitu pas sampe kerdus nya udah ke buka untung aja aman isi nya,kirim sama emas nya sama saja lama nya sampai minggu sudah begitu pas sampai kerdus nya sudah ke buka untung saja aman isi nya,0
Produk standar; pengiriman agak lama dan respon penjual kurang oke. Makasih sis ,produk standar kirim agak lama dan respon jual kurang oke terima kasih sis,0
Produk original; kualitas ok; packing rapi; respon penjual sangat cepat; recommended seller 👍👍👍,produk original kualitas ok packing rapi respon jual sangat cepat recommended seller,1
baiknya packing yg lebih aman; dus sesuaikan dgn ukuran dan berat paket; supaya gak penyok.,baik packing yang lebih aman dus sesuai dengan ukur dan berat paket supaya enggak penyok,0
Pengiriman pakai kurir toko 3 hari sampai; ga taunya di kirim pake wahana dari sana. yg mau beli pake kurir toko; mending pikir2 lagi..,kirim pakai kurir toko hari sampai tidak tau di kirim pakai wahana dari sana yang mau beli pakai kurir toko lebih baik pikir lagi,0
Semua ok bangetz 👍👍👍. Cucian bersih &amp; wangiiii....,semua ok bangetz cuci bersih amp wangi,1
barang oke. pelayanan yg lambat banget..,barang oke layan yang lambat banget,0
Barang uda diterima ya gan. Terima kasih ya gan.,barang sudah terima iya juragan terima kasih iya juragan,1
barang sesuai pesanan dan pengiriman lama,barang sesuai pesan dan kirim lama,0
Sebelumnya terima kasih untuk tokopedia dan Unilever sudah mengadakan flash sale. Tapi; sabun yang diterima lifebuoy warna biru; jika sesuai pesanan adalah harusnya lifebuoy warna merah. Jika memang stok habis; tolong diinfokan kepada pembeli; jika memang ada komunikasi yang baik dan dijelaskan; tentu buyer akan mengerti. Kedepannya tolong diperbaiki. Memang hal kecil; tapi seharusnya Unilever sebagai perusahaan skala besar bisa mengantisipasi hal ini.,belum terima kasih untuk tokopedia dan unilever sudah ada flash sale tapi sabun yang terima lifebuoy warna biru jika sesuai pesan adalah harus lifebuoy warna merah jika memang stok habis tolong info kepada beli jika memang ada komunikasi yang baik dan jelas tentu buyer akan erti depan tolong baik memang hal kecil tapi harus unilever bagai usaha skala besar bisa antisipasi hal ini,0
hadehhh masa paketnyaa jeboll kaya gitu sihh😌,hadeh masa paketnyaa jeboll kayak begitu sih,0
packing nya jelek; kaleng nya pda penyok semua,packing nya jelek kaleng nya pada penyok semua,0
Respon cepat; kemasan rapi.,respon cepat kemas rapi,1
